Time slots ,Load1,Load2
295,0,38
296,63.278,101.278
297,400.253,438.253
298,638.047,676.047
299,814.934,852.934
300,920.281,958.281
301,942.133,980.133
302,881.765,919.765
303,742.884,780.884
304,536.361,574.361
305,275.227,313.227
306,0,38
307,0,38
308,0,38
309,0,38
310,0,38
311,0,38
312,0,38
313,0,38
314,0,38
315,0,38
316,0,38
317,0,38
318,0,38
319,0,38
320,145.858,183.858
321,416.571,454.571
322,651.179,689.179
323,826.462,864.462
324,924.755,962.755
325,943.937,981.937
326,880.123,918.123
327,738.58,776.58
328,529.503,567.503
329,268.684,306.684
330,0,38
331,0,38
332,0,38
333,0,38
334,0,38
335,0,38
336,0,38
337,0,38
338,0,38
339,0,38
340,0,38
341,0,38
342,0,38
343,0,38
344,128.511,166.511
345,201.081,239.081
346,358.426,396.426
347,810.662,848.662
348,578.776,616.776
349,730.29,768.29
350,729.856,767.856
351,738.056,776.056
352,383.505,421.505
353,50.519,88.519
354,0,38
355,0,38
356,0,38
357,0,38
358,0,38
359,0,38
360,0,38
361,0,38
362,0,38
363,0,38
364,0,38
365,0,38
366,0,38
367,0,38
368,128.252,166.252
369,394.064,432.064
370,628.38,666.38
371,802.285,840.285
372,899.617,937.617
373,920.951,958.951
374,368.175,406.175
375,574.077,612.077
376,516.643,554.643
377,257.636,295.636
378,0,38
379,0,38
380,0,38
381,0,38
382,0,38
383,0,38
384,0,38
385,0,38
386,0,38
387,0,38
388,0,38
389,0,38
390,0,38
391,0,38
392,56.95,94.95
393,16.095,54.095
394,228.537,266.537
395,547.5,585.5
396,341.328,379.328
397,238.939,276.939
398,271.391,309.391
399,710.881,748.881
400,514.267,552.267
401,260.761,298.761
402,0,38
403,0,38
404,0,38
405,0,38
406,0,38
407,0,38
408,0,38
409,0,38
410,0,38
411,0,38
412,0,38
413,0,38
414,0,38
415,0,38
416,86.76,124.76
417,297.943,335.943
418,529.067,567.067
419,803.252,841.252
420,909.423,947.423
421,936.574,974.574
422,883.219,921.219
423,606.218,644.218
424,546.493,584.493
425,143.189,181.189
426,0,38
427,0,38
428,0,38
429,0,38
430,0,38
431,0,38
432,0,38
433,0,38
434,0,38
435,0,38
436,0,38
437,0,38
438,0,38
439,0,38
440,152.135,190.135
441,428.603,466.603
442,672.488,710.488
443,854.297,892.297
444,955.649,993.649
445,975.208,1013.208
446,909.429,947.429
447,330.259,368.259
448,243.444,281.444
449,134.173,172.173
450,0,38
451,0,38
452,0,38
453,0,38
454,0,38
455,0,38
456,0,38
457,0,38
458,0,38
459,0,38
460,0,38
461,0,38
462,0,38
463,0,38
464,148.268,186.268
465,421.945,459.945
466,661.024,699.024
467,840.539,878.539
468,948.414,986.414
469,972.266,1010.266
470,912.175,950.175
471,771.712,809.712
472,560.914,598.914
473,298.663,336.663
474,0,38
475,0,38
476,0,38
477,0,38
478,0,38
479,0,38
480,0,38
481,0,38
482,0,38
483,0,38
484,0,38
485,0,38
486,0,38
487,0,38
488,74.98,112.98
489,417.684,455.684
490,658.871,696.871
491,839.639,877.639
492,945.155,983.155
493,969.685,1007.685
494,709.749,747.749
495,771.106,809.106
496,562.24,600.24
497,281.966,319.966
498,0,38
499,0,38
500,0,38
501,0,38
502,0,38
503,0,38
504,0,38
505,0,38
506,0,38
507,0,38
508,0,38
509,0,38
510,0,38
511,0,38
512,85.164,123.164
513,413.051,451.051
514,654.801,692.801
515,836.126,874.126
516,943.063,981.063
517,968.295,1006.295
518,909.302,947.302
519,771.106,809.106
520,564.731,602.731
521,305.156,343.156
522,0,38
523,0,38
524,0,38
525,0,38
526,0,38
527,0,38
528,0,38
529,0,38
530,0,38
531,0,38
532,0,38
533,0,38
534,0,38
535,0,38
536,135.891,173.891
537,407.792,445.792
538,647.126,685.126
539,826.452,864.452
540,928.182,966.182
541,949.674,987.674
542,886.44,924.44
543,624.717,662.717
544,445.719,483.719
545,121.746,159.746
546,0,38
547,0,38
548,0,38
549,0,38
550,0,38
551,0,38
552,0,38
553,0,38
554,0,38
555,0,38
556,0,38
557,0,38
558,0,38
559,0,38
560,0.945,38.945
561,9.463,47.463
562,344.268,382.268
563,794.616,832.616
564,679.333,717.333
565,536.198,574.198
566,883.1,921.1
567,752.423,790.423
568,554.746,592.746
569,299.048,337.048
570,0,38
571,0,38
572,0,38
573,0,38
574,0,38
575,0,38
576,0,38
577,0,38
578,0,38
579,0,38
580,0,38
581,0,38
582,0,38
583,0,38
584,89.825,127.825
585,429.064,467.064
586,675.295,713.295
587,860.259,898.259
588,964.504,1002.504
589,992.94,1030.94
590,934.201,972.201
591,796.365,834.365
592,585.901,623.901
593,323.259,361.259
594,0,38
595,0,38
596,0,38
597,0,38
598,0,38
599,0,38
600,0,38
601,0,38
602,0,38
603,0,38
604,0,38
605,0,38
606,0,38
607,0,38
608,74.594,112.594
609,429.34,467.34
610,673.82,711.82
611,856.573,894.573
612,961.017,999.017
613,988.181,1026.181
614,929.247,967.247
615,791.69,829.69
616,582.781,620.781
617,320.697,358.697
618,0,38
619,0,38
620,0,38
621,0,38
622,0,38
623,0,38
624,0,38
625,0,38
626,0,38
627,0,38
628,0,38
629,0,38
630,0,38
631,0,38
632,92.643,130.643
633,161.596,199.596
634,261.208,299.208
635,851.796,889.796
636,961.367,999.367
637,987.011,1025.011
638,927.253,965.253
639,690.105,728.105
640,429.982,467.982
641,321.816,359.816
642,0,38
643,0,38
644,0,38
645,0,38
646,0,38
647,0,38
648,0,38
649,0,38
650,0,38
651,0,38
652,0,38
653,0,38
654,0,38
655,0,38
656,138.97,176.97
657,409.95,447.95
658,645.932,683.932
659,822.454,860.454
660,919.931,957.931
661,945.475,983.475
662,727.234,765.234
663,563.362,601.362
664,555.7,593.7
665,298.589,336.589
666,0,38
667,0,38
668,0,38
669,0,38
670,0,38
671,0,38
672,0,38
673,0,38
674,0,38
675,0,38
676,0,38
677,0,38
678,0,38
679,0,38
680,84.001,122.001
681,62.319,100.319
682,26.549,64.549
683,117.436,155.436
684,143.907,181.907
685,381.709,419.709
686,232.84,270.84
687,182.508,220.508
688,64.587,102.587
689,88.393,126.393
690,0,38
691,0,38
692,0,38
693,0,38
694,0,38
695,0,38
696,0,38
697,0,38
698,0,38
699,0,38
700,0,38
701,0,38
702,0,38
703,0,38
704,3.78,41.78
705,83.24,121.24
706,412.417,450.417
707,393.142,431.142
708,234.212,272.212
709,41.806,79.806
710,77.028,115.028
711,48.426,86.426
712,36.989,74.989
713,90.532,128.532
714,0,38
715,0,38
716,0,38
717,0,38
718,0,38
719,0,38
720,0,38
721,0,38
722,0,38
723,0,38
724,0,38
725,0,38
726,0,38
727,0,38
728,160.765,198.765
729,442.162,480.162
730,690.417,728.417
731,878.546,916.546
732,991.481,1029.481
733,1019.454,1057.454
734,963.409,1001.409
735,824.515,862.515
736,614.754,652.754
737,350.147,388.147
738,0,38
739,0,38
740,0,38
741,0,38
742,0,38
743,0,38
744,0,38
745,0,38
746,0,38
747,0,38
748,0,38
749,0,38
750,0,38
751,0,38
752,136.129,174.129
753,404.982,442.982
754,641.795,679.795
755,475.645,513.645
756,931.336,969.336
757,533.051,571.051
758,907.443,945.443
759,775.453,813.453
760,574.368,612.368
761,322.762,360.762
762,0,38
763,0,38
764,0,38
765,0,38
766,0,38
767,0,38
768,0,38
769,0,38
770,0,38
771,0,38
772,0,38
773,0,38
774,0,38
775,0,38
776,138.91,176.91
777,412.224,450.224
778,650.493,688.493
779,833.278,871.278
780,943.473,981.473
781,969.162,1007.162
782,913.347,951.347
783,779.493,817.493
784,576.887,614.887
785,325.701,363.701
786,59.126,97.126
787,0,38
788,0,38
789,0,38
790,0,38
791,0,38
792,0,38
793,0,38
794,0,38
795,0,38
796,0,38
797,0,38
798,0,38
799,0,38
800,145.058,183.058
801,418.294,456.294
802,656.081,694.081
803,837.114,875.114
804,945.73,983.73
805,973.045,1011.045
806,916.777,954.777
807,783.827,821.827
808,581.7,619.7
809,329.753,367.753
810,63.938,101.938
811,0,38
812,0,38
813,0,38
814,0,38
815,0,38
816,0,38
817,0,38
818,0,38
819,0,38
820,0,38
821,0,38
822,0,38
823,0,38
824,153.655,191.655
825,423.883,461.883
826,662.865,700.865
827,843.162,881.162
828,950.949,988.949
829,979.293,1017.293
830,923.735,961.735
831,788.177,826.177
832,585.339,623.339
833,334.18,372.18
834,70.056,108.056
835,0,38
836,0,38
837,0,38
838,0,38
839,0,38
840,0,38
841,0,38
842,0,38
843,0,38
844,0,38
845,0,38
846,0,38
847,0,38
848,150.815,188.815
849,423.849,461.849
850,664.601,702.601
851,848.914,886.914
852,958.085,996.085
853,987.071,1025.071
854,931.266,969.266
855,798.302,836.302
856,596.025,634.025
857,340.648,378.648
858,75.944,113.944
859,0,38
860,0,38
861,0,38
862,0,38
863,0,38
864,0,38
865,0,38
866,0,38
867,0,38
868,0,38
869,0,38
870,0,38
871,0,38
872,161.556,199.556
873,438.391,476.391
874,681.823,719.823
875,865.425,903.425
876,973.904,1011.904
877,1001.108,1039.108
878,944.376,982.376
879,807.102,845.102
880,601.532,639.532
881,344.937,382.937
882,76.037,114.037
883,0,38
884,0,38
885,0,38
886,0,38
887,0,38
888,0,38
889,0,38
890,0,38
891,0,38
892,0,38
893,0,38
894,0,38
895,0,38
896,164.504,202.504
897,441.66,479.66
898,685.663,723.663
899,869.574,907.574
900,979.247,1017.247
901,1006.315,1044.315
902,949.933,987.933
903,814.956,852.956
904,609.839,647.839
905,353.361,391.361
906,85.464,123.464
907,0,38
908,0,38
909,0,38
910,0,38
911,0,38
912,0,38
913,0,38
914,0,38
915,0,38
916,0,38
917,0,38
918,0,38
919,0,38
920,161.462,199.462
921,433.975,471.975
922,673.412,711.412
923,854.56,892.56
924,960.569,998.569
925,988.308,1026.308
926,932.497,970.497
927,797.947,835.947
928,595.415,633.415
929,343.042,381.042
930,78.036,116.036
931,0,38
932,0,38
933,0,38
934,0,38
935,0,38
936,0,38
937,0,38
938,0,38
939,0,38
940,0,38
941,0,38
942,0,38
943,0,38
944,158.907,196.907
945,434.806,472.806
946,672.786,710.786
947,855.956,893.956
948,967.911,1005.911
949,997.67,1035.67
950,943.646,981.646
951,809.448,847.448
952,606.683,644.683
953,353.617,391.617
954,86.095,124.095
955,0,38
956,0,38
957,0,38
958,0,38
959,0,38
960,0,38
961,0,38
962,0,38
963,0,38
964,0,38
965,0,38
966,0,38
967,0,38
968,168.412,206.412
969,445.789,483.789
970,689.131,727.131
971,872.821,910.821
972,981.425,1019.425
973,1009.59,1047.59
974,953.62,991.62
975,819.165,857.165
976,615.025,653.025
977,358.816,396.816
978,89.333,127.333
979,0,38
980,0,38
981,0,38
982,0,38
983,0,38
984,0,38
985,0,38
986,0,38
987,0,38
988,0,38
989,0,38
990,0,38
991,0,38
992,168.514,206.514
993,438.371,476.371
994,675.158,713.158
995,291.438,329.438
996,746.502,784.502
997,694.518,732.518
998,854.188,892.188
999,553.32,591.32
1000,360.272,398.272
1001,230.93,268.93
1002,10.411,48.411
1003,0,38
1004,0,38
1005,0,38
1006,0,38
1007,0,38
1008,0,38
1009,0,38
1010,0,38
1011,0,38
1012,0,38
1013,0,38
1014,0,38
1015,0,38
1016,155.797,193.797
1017,429.158,467.158
1018,672.863,710.863
1019,854.962,892.962
1020,963.413,1001.413
1021,993.081,1031.081
1022,938.191,976.191
1023,804.3,842.3
1024,604.284,642.284
1025,348.352,386.352
1026,84.648,122.648
1027,0,38
1028,0,38
1029,0,38
1030,0,38
1031,0,38
1032,0,38
1033,0,38
1034,0,38
1035,0,38
1036,0,38
1037,0,38
1038,0,38
1039,0,38
1040,163.787,201.787
1041,439.731,477.731
1042,679.845,717.845
1043,864.271,902.271
1044,973.988,1011.988
1045,1005.048,1043.048
1046,951.675,989.675
1047,819.082,857.082
1048,616.777,654.777
1049,364.418,402.418
1050,97.55,135.55
1051,0,38
1052,0,38
1053,0,38
1054,0,38
1055,0,38
1056,0,38
1057,0,38
1058,0,38
1059,0,38
1060,0,38
1061,0,38
1062,0,38
1063,0,38
1064,167.523,205.523
1065,441.994,479.994
1066,681.326,719.326
1067,862.999,900.999
1068,972.335,1010.335
1069,914.485,952.485
1070,828.647,866.647
1071,632.282,670.282
1072,583.611,621.611
1073,128.585,166.585
1074,35.976,73.976
1075,0,38
1076,0,38
1077,0,38
1078,0,38
1079,0,38
1080,0,38
1081,0,38
1082,0,38
1083,0,38
1084,0,38
1085,0,38
1086,0,38
1087,0,38
1088,153.483,191.483
1089,417.799,455.799
1090,657.294,695.294
1091,837.313,875.313
1092,947.396,985.396
1093,978.357,1016.357
1094,923.554,961.554
1095,618.332,656.332
1096,376.13,414.13
1097,329.161,367.161
1098,71.59,109.59
1099,0,38
1100,0,38
1101,0,38
1102,0,38
1103,0,38
1104,0,38
1105,0,38
1106,0,38
1107,0,38
1108,0,38
1109,0,38
1110,0,38
1111,0,38
1112,67.42,105.42
1113,212.389,250.389
1114,708.828,746.828
1115,894.089,932.089
1116,1004.704,1042.704
1117,1031.388,1069.388
1118,972.808,1010.808
1119,834.372,872.372
1120,625.493,663.493
1121,367.449,405.449
1122,96.568,134.568
1123,0,38
1124,0,38
1125,0,38
1126,0,38
1127,0,38
1128,0,38
1129,0,38
1130,0,38
1131,0,38
1132,0,38
1133,0,38
1134,0,38
1135,0,38
1136,190.608,228.608
1137,470.882,508.882
1138,717.639,755.639
1139,905.854,943.854
1140,1016.948,1054.948
1141,1047.165,1085.165
1142,992.838,1030.838
1143,855.946,893.946
1144,647.746,685.746
1145,387.04,425.04
1146,112.811,150.811
1147,0,38
1148,0,38
1149,0,38
1150,0,38
1151,0,38
1152,0,38
1153,0,38
1154,0,38
1155,0,38
1156,0,38
1157,0,38
1158,0,38
1159,0,38
1160,198.981,236.981
1161,476.132,514.132
1162,720.228,758.228
1163,906.129,944.129
1164,1017.146,1055.146
1165,1045.005,1083.005
1166,989.699,1027.699
1167,852.6,890.6
1168,645.822,683.822
1169,384.969,422.969
1170,113.109,151.109
1171,0,38
1172,0,38
1173,0,38
1174,0,38
1175,0,38
1176,0,38
1177,0,38
1178,0,38
1179,0,38
1180,0,38
1181,0,38
1182,0,38
1183,0,38
1184,69.288,107.288
1185,318.391,356.391
1186,707.938,745.938
1187,892.387,930.387
1188,1001.531,1039.531
1189,1030.307,1068.307
1190,975.622,1013.622
1191,839.608,877.608
1192,633.983,671.983
1193,377.596,415.596
1194,110.105,148.105
1195,0,38
1196,0,38
1197,0,38
1198,0,38
1199,0,38
1200,0,38
1201,0,38
1202,0,38
1203,0,38
1204,0,38
1205,0,38
1206,0,38
1207,0,38
1208,200.524,238.524
1209,117.858,155.858
1210,438.008,476.008
1211,299.634,337.634
1212,841.229,879.229
1213,797.167,835.167
1214,340.632,378.632
1215,273.509,311.509
1216,153.08,191.08
1217,52.211,90.211
1218,22.764,60.764
1219,0,38
1220,0,38
1221,0,38
1222,0,38
1223,0,38
1224,0,38
1225,0,38
1226,0,38
1227,0,38
1228,0,38
1229,0,38
1230,0,38
1231,0,38
1232,196.554,234.554
1233,474.728,512.728
1234,714.711,752.711
1235,635.341,673.341
1236,823.189,861.189
1237,966.842,1004.842
1238,858.53,896.53
1239,595.088,633.088
1240,391.124,429.124
1241,207.763,245.763
1242,36.249,74.249
1243,0,38
1244,0,38
1245,0,38
1246,0,38
1247,0,38
1248,0,38
1249,0,38
1250,0,38
1251,0,38
1252,0,38
1253,0,38
1254,0,38
1255,0,38
1256,22.74,60.74
1257,5.68,43.68
1258,21.817,59.817
1259,252.727,290.727
1260,541.649,579.649
1261,117.81,155.81
1262,316.872,354.872
1263,214.624,252.624
1264,610.942,648.942
1265,356.637,394.637
1266,67.855,105.855
1267,0,38
1268,0,38
1269,0,38
1270,0,38
1271,0,38
1272,0,38
1273,0,38
1274,0,38
1275,0,38
1276,0,38
1277,0,38
1278,0,38
1279,0,38
1280,3.781,41.781
1281,12.312,50.312
1282,107.303,145.303
1283,134.489,172.489
1284,222.654,260.654
1285,469.258,507.258
1286,445.909,483.909
1287,553.156,591.156
1288,425.847,463.847
1289,255.027,293.027
1290,58.786,96.786
1291,0,38
1292,0,38
1293,0,38
1294,0,38
1295,0,38
1296,0,38
1297,0,38
1298,0,38
1299,0,38
1300,0,38
1301,0,38
1302,0,38
1303,0,38
1304,189.422,227.422
1305,460.197,498.197
1306,705.173,743.173
1307,627.823,665.823
1308,769.123,807.123
1309,1023.376,1061.376
1310,964.89,1002.89
1311,832.732,870.732
1312,315.217,353.217
1313,263.196,301.196
1314,20.856,58.856
1315,0,38
1316,0,38
1317,0,38
1318,0,38
1319,0,38
1320,0,38
1321,0,38
1322,0,38
1323,0,38
1324,0,38
1325,0,38
1326,0,38
1327,0,38
1328,210.639,248.639
1329,496.062,534.062
1330,741.397,779.397
1331,925.273,963.273
1332,1033.028,1071.028
1333,1058.945,1096.945
1334,997.93,1035.93
1335,857.577,895.577
1336,650.34,688.34
1337,392.817,430.817
1338,118.426,156.426
1339,0,38
1340,0,38
1341,0,38
1342,0,38
1343,0,38
1344,0,38
1345,0,38
1346,0,38
1347,0,38
1348,0,38
1349,0,38
1350,0,38
1351,0,38
1352,24.637,62.637
1353,482.321,520.321
1354,722.124,760.124
1355,905.242,943.242
1356,1007.338,1045.338
1357,650.626,688.626
1358,672.289,710.289
1359,505.498,543.498
1360,120.443,158.443
1361,241.367,279.367
1362,103.574,141.574
1363,0,38
1364,0,38
1365,0,38
1366,0,38
1367,0,38
1368,0,38
1369,0,38
1370,0,38
1371,0,38
1372,0,38
1373,0,38
1374,0,38
1375,0,38
1376,4.728,42.728
1377,127.221,165.221
1378,42.726,80.726
1379,159.588,197.588
1380,243.595,281.595
1381,451.513,489.513
1382,503.552,541.552
1383,834.609,872.609
1384,623.665,661.665
1385,364.348,402.348
1386,97.871,135.871
1387,0,38
1388,0,38
1389,0,38
1390,0,38
1391,0,38
1392,0,38
1393,0,38
1394,0,38
1395,0,38
1396,0,38
1397,0,38
1398,0,38
1399,0,38
1400,191.112,229.112
1401,459.105,497.105
1402,697.564,735.564
1403,882.432,920.432
1404,991.358,1029.358
1405,1018.696,1056.696
1406,960.298,998.298
1407,828.372,866.372
1408,627.147,665.147
1409,373.246,411.246
1410,29.755,67.755
1411,0,38
1412,0,38
1413,0,38
1414,0,38
1415,0,38
1416,0,38
1417,0,38
1418,0,38
1419,0,38
1420,0,38
1421,0,38
1422,0,38
1423,0,38
1424,214.733,252.733
1425,486.233,524.233
1426,725.317,763.317
1427,901.45,939.45
1428,596.589,634.589
1429,768.256,806.256
1430,175.32,213.32
1431,610.687,648.687
1432,458.814,496.814
1433,262.156,300.156
1434,116.088,154.088
1435,0,38
1436,0,38
1437,0,38
1438,0,38
1439,0,38
1440,0,38
1441,0,38
1442,0,38
1443,0,38
1444,0,38
1445,0,38
1446,0,38
1447,0,38
1448,110.969,148.969
1449,397.462,435.462
1450,669.916,707.916
1451,774.845,812.845
1452,800.858,838.858
1453,846.718,884.718
1454,908.421,946.421
1455,722.473,760.473
1456,539.782,577.782
1457,344.266,382.266
1458,88.851,126.851
1459,0,38
1460,0,38
1461,0,38
1462,0,38
1463,0,38
1464,0,38
1465,0,38
1466,0,38
1467,0,38
1468,0,38
1469,0,38
1470,0,38
1471,0,38
1472,230.501,268.501
1473,509.198,547.198
1474,748.84,786.84
1475,931.08,969.08
1476,1032.276,1070.276
1477,1054.397,1092.397
1478,993.564,1031.564
1479,855.185,893.185
1480,650.203,688.203
1481,390.089,428.089
1482,124.82,162.82
1483,0,38
1484,0,38
1485,0,38
1486,0,38
1487,0,38
1488,0,38
1489,0,38
1490,0,38
1491,0,38
1492,0,38
1493,0,38
1494,0,38
1495,0,38
1496,239.251,277.251
1497,518.704,556.704
1498,762.175,800.175
1499,947.321,985.321
1500,1052.406,1090.406
1501,1076.487,1114.487
1502,1017.005,1055.005
1503,876.087,914.087
1504,663.201,701.201
1505,401.301,439.301
1506,125.466,163.466
1507,0,38
1508,0,38
1509,0,38
1510,0,38
1511,0,38
1512,0,38
1513,0,38
1514,0,38
1515,0,38
1516,0,38
1517,0,38
1518,0,38
1519,0,38
1520,239.618,277.618
1521,517.652,555.652
1522,758.517,796.517
1523,941.929,979.929
1524,1048.359,1086.359
1525,1073.648,1111.648
1526,1014.209,1052.209
1527,871.109,909.109
1528,663.77,701.77
1529,401.855,439.855
1530,126.683,164.683
1531,0,38
1532,0,38
1533,0,38
1534,0,38
1535,0,38
1536,0,38
1537,0,38
1538,0,38
1539,0,38
1540,0,38
1541,0,38
1542,0,38
1543,0,38
1544,104.748,142.748
1545,443.855,481.855
1546,654.806,692.806
1547,740.066,778.066
1548,717.984,755.984
1549,850.211,888.211
1550,629.33,667.33
1551,505.838,543.838
1552,455.297,493.297
1553,106.581,144.581
1554,19.897,57.897
1555,0,38
1556,0,38
1557,0,38
1558,0,38
1559,0,38
1560,0,38
1561,0,38
1562,0,38
1563,0,38
1564,0,38
1565,0,38
1566,0,38
1567,0,38
1568,93.034,131.034
1569,316.28,354.28
1570,738.702,776.702
1571,919.399,957.399
1572,914.466,952.466
1573,724.604,762.604
1574,157.538,195.538
1575,450.222,488.222
1576,534.105,572.105
1577,234,272
1578,56.386,94.386
1579,0,38
1580,0,38
1581,0,38
1582,0,38
1583,0,38
1584,0,38
1585,0,38
1586,0,38
1587,0,38
1588,0,38
1589,0,38
1590,0,38
1591,0,38
1592,77.972,115.972
1593,135.795,173.795
1594,583.566,621.566
1595,178.787,216.787
1596,190.186,228.186
1597,124.563,162.563
1598,312.888,350.888
1599,243.986,281.986
1600,344.285,382.285
1601,408.869,446.869
1602,131.221,169.221
1603,0,38
1604,0,38
1605,0,38
1606,0,38
1607,0,38
1608,0,38
1609,0,38
1610,0,38
1611,0,38
1612,0,38
1613,0,38
1614,0,38
1615,0,38
1616,254.027,292.027
1617,534.154,572.154
1618,774.953,812.953
1619,958.382,996.382
1620,1061.856,1099.856
1621,1084.354,1122.354
1622,1020.215,1058.215
1623,872.622,910.622
1624,660.333,698.333
1625,121.699,159.699
1626,124.9,162.9
1627,0,38
1628,0,38
1629,0,38
1630,0,38
1631,0,38
1632,0,38
1633,0,38
1634,0,38
1635,0,38
1636,0,38
1637,0,38
1638,0,38
1639,0,38
1640,218.072,256.072
1641,425.749,463.749
1642,704.864,742.864
1643,893.832,931.832
1644,1045.039,1083.039
1645,1071.65,1109.65
1646,1012.329,1050.329
1647,871.829,909.829
1648,603.636,641.636
1649,304.887,342.887
1650,126.067,164.067
1651,0,38
1652,0,38
1653,0,38
1654,0,38
1655,0,38
1656,0,38
1657,0,38
1658,0,38
1659,0,38
1660,0,38
1661,0,38
1662,0,38
1663,9.464,47.464
1664,240.59,278.59
1665,532.305,570.305
1666,771.678,809.678
1667,951.078,989.078
1668,1048.767,1086.767
1669,1069.057,1107.057
1670,1005.118,1043.118
1671,872.693,910.693
1672,664.851,702.851
1673,404.701,442.701
1674,132.793,170.793
1675,0,38
1676,0,38
1677,0,38
1678,0,38
1679,0,38
1680,0,38
1681,0,38
1682,0,38
1683,0,38
1684,0,38
1685,0,38
1686,0,38
1687,27.453,65.453
1688,276.059,314.059
1689,559.817,597.817
1690,802.103,840.103
1691,984.327,1022.327
1692,1079.134,1117.134
1693,1100.438,1138.438
1694,1035.196,1073.196
1695,883.356,921.356
