Time slots,Output1 ,Output2 
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,126.733,126.733
201,395.539,395.539
202,424.825,424.825
203,657.53,657.53
204,798.41,798.41
205,848.932,848.932
206,655.709,655.709
207,467.31,467.31
208,391.637,391.637
209,150.865,150.865
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,118.131,118.131
225,381.496,381.496
226,608.821,608.821
227,777.366,777.366
228,872.859,872.859
229,890.994,890.994
230,826.647,826.647
231,628.867,628.867
232,382.891,382.891
233,62.481,62.481
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,98.506,98.506
249,363.737,363.737
250,436.631,436.631
251,768.345,768.345
252,867.737,867.737
253,890.73,890.73
254,833.97,833.97
255,700.76,700.76
256,503.366,503.366
257,247.456,247.456
258,0,0
259,0,0
260,0,0
261,0,0
262,0,0
263,0,0
264,0,0
265,0,0
266,0,0
267,0,0
268,0,0
269,0,0
270,0,0
271,0,0
272,131.374,131.374
273,399.1,399.1
274,633.494,633.494
275,806.933,806.933
276,905.387,905.387
277,925.934,925.934
278,863.426,863.426
279,724.355,724.355
280,517.775,517.775
281,259.537,259.537
282,0,0
283,0,0
284,0,0
285,0,0
286,0,0
287,0,0
288,0,0
289,0,0
290,0,0
291,0,0
292,0,0
293,0,0
294,0,0
295,0,0
296,63.278,63.278
297,400.253,400.253
298,638.047,638.047
299,814.934,814.934
300,920.281,920.281
301,942.133,942.133
302,881.765,881.765
303,742.884,742.884
304,536.361,536.361
305,275.227,275.227
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,145.858,145.858
321,416.571,416.571
322,651.179,651.179
323,826.462,826.462
324,924.755,924.755
325,943.937,943.937
326,880.123,880.123
327,738.58,738.58
328,529.503,529.503
329,268.684,268.684
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,128.511,128.511
345,201.081,201.081
346,358.426,358.426
347,810.662,810.662
348,578.776,578.776
349,730.29,730.29
350,729.856,729.856
351,738.056,738.056
352,383.505,383.505
353,50.519,50.519
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,128.252,128.252
369,394.064,394.064
370,628.38,628.38
371,802.285,802.285
372,899.617,899.617
373,920.951,920.951
374,368.175,368.175
375,574.077,574.077
376,516.643,516.643
377,257.636,257.636
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,56.95,56.95
393,16.095,16.095
394,228.537,228.537
395,547.5,547.5
396,341.328,341.328
397,238.939,238.939
398,271.391,271.391
399,710.881,710.881
400,514.267,514.267
401,260.761,260.761
402,0,0
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,86.76,86.76
417,297.943,297.943
418,529.067,529.067
419,803.252,803.252
420,909.423,909.423
421,936.574,936.574
422,883.219,883.219
423,606.218,606.218
424,546.493,546.493
425,143.189,143.189
426,0,0
427,0,0
428,0,0
429,0,0
430,0,0
431,0,0
432,0,0
433,0,0
434,0,0
435,0,0
436,0,0
437,0,0
438,0,0
439,0,0
440,152.135,152.135
441,428.603,428.603
442,672.488,672.488
443,854.297,854.297
444,955.649,955.649
445,975.208,975.208
446,909.429,909.429
447,330.259,330.259
448,243.444,243.444
449,134.173,134.173
450,0,0
451,0,0
452,0,0
453,0,0
454,0,0
455,0,0
456,0,0
457,0,0
458,0,0
459,0,0
460,0,0
461,0,0
462,0,0
463,0,0
464,148.268,148.268
465,421.945,421.945
466,661.024,661.024
467,840.539,840.539
468,948.414,948.414
469,972.266,972.266
470,912.175,912.175
471,771.712,771.712
472,560.914,560.914
473,298.663,298.663
474,0,0
475,0,0
476,0,0
477,0,0
478,0,0
479,0,0
480,0,0
481,0,0
482,0,0
483,0,0
484,0,0
485,0,0
486,0,0
487,0,0
488,74.98,74.98
489,417.684,417.684
490,658.871,658.871
491,839.639,839.639
492,945.155,945.155
493,969.685,969.685
494,709.749,709.749
495,771.106,771.106
496,562.24,562.24
497,281.966,281.966
498,0,0
499,0,0
500,0,0
501,0,0
502,0,0
503,0,0
504,0,0
505,0,0
506,0,0
507,0,0
508,0,0
509,0,0
510,0,0
511,0,0
512,85.164,85.164
513,413.051,413.051
514,654.801,654.801
515,836.126,836.126
516,943.063,943.063
517,968.295,968.295
518,909.302,909.302
519,771.106,771.106
520,564.731,564.731
521,305.156,305.156
522,0,0
523,0,0
524,0,0
525,0,0
526,0,0
527,0,0
528,0,0
529,0,0
530,0,0
531,0,0
532,0,0
533,0,0
534,0,0
535,0,0
536,135.891,135.891
537,407.792,407.792
538,647.126,647.126
539,826.452,826.452
540,928.182,928.182
541,949.674,949.674
542,886.44,886.44
543,624.717,624.717
544,445.719,445.719
545,121.746,121.746
546,0,0
547,0,0
548,0,0
549,0,0
550,0,0
551,0,0
552,0,0
553,0,0
554,0,0
555,0,0
556,0,0
557,0,0
558,0,0
559,0,0
560,0.945,0.945
561,9.463,9.463
562,344.268,344.268
563,794.616,794.616
564,679.333,679.333
565,536.198,536.198
566,883.1,883.1
567,752.423,752.423
568,554.746,554.746
569,299.048,299.048
570,0,0
571,0,0
572,0,0
573,0,0
574,0,0
575,0,0
576,0,0
577,0,0
578,0,0
579,0,0
580,0,0
581,0,0
582,0,0
583,0,0
584,89.825,89.825
585,429.064,429.064
586,675.295,675.295
587,860.259,860.259
588,964.504,964.504
589,992.94,992.94
590,934.201,934.201
591,796.365,796.365
592,585.901,585.901
593,323.259,323.259
594,0,0
595,0,0
596,0,0
597,0,0
598,0,0
599,0,0
600,0,0
601,0,0
602,0,0
603,0,0
604,0,0
605,0,0
606,0,0
607,0,0
608,74.594,74.594
609,429.34,429.34
610,673.82,673.82
611,856.573,856.573
612,961.017,961.017
613,988.181,988.181
614,929.247,929.247
615,791.69,791.69
616,582.781,582.781
617,320.697,320.697
618,0,0
619,0,0
620,0,0
621,0,0
622,0,0
623,0,0
624,0,0
625,0,0
626,0,0
627,0,0
628,0,0
629,0,0
630,0,0
631,0,0
632,92.643,92.643
633,161.596,161.596
634,261.208,261.208
635,851.796,851.796
636,961.367,961.367
637,987.011,987.011
638,927.253,927.253
639,690.105,690.105
640,429.982,429.982
641,321.816,321.816
642,0,0
643,0,0
644,0,0
645,0,0
646,0,0
647,0,0
648,0,0
649,0,0
650,0,0
651,0,0
652,0,0
653,0,0
654,0,0
655,0,0
656,138.97,138.97
657,409.95,409.95
658,645.932,645.932
659,822.454,822.454
660,919.931,919.931
661,945.475,945.475
662,727.234,727.234
663,563.362,563.362
664,555.7,555.7
665,298.589,298.589
666,0,0
667,0,0
668,0,0
669,0,0
670,0,0
671,0,0
672,0,0
673,0,0
674,0,0
675,0,0
676,0,0
677,0,0
678,0,0
679,0,0
680,84.001,84.001
681,62.319,62.319
682,26.549,26.549
683,117.436,117.436
684,143.907,143.907
685,381.709,381.709
686,232.84,232.84
687,182.508,182.508
688,64.587,64.587
689,88.393,88.393
690,0,0
691,0,0
692,0,0
693,0,0
694,0,0
695,0,0
696,0,0
697,0,0
698,0,0
699,0,0
700,0,0
701,0,0
702,0,0
703,0,0
704,3.78,3.78
705,83.24,83.24
706,412.417,412.417
707,393.142,393.142
708,234.212,234.212
709,41.806,41.806
710,77.028,77.028
711,48.426,48.426
712,36.989,36.989
713,90.532,90.532
714,0,0
715,0,0
716,0,0
717,0,0
718,0,0
719,0,0
720,0,0
721,0,0
722,0,0
723,0,0
724,0,0
725,0,0
726,0,0
727,0,0
728,160.765,160.765
729,442.162,442.162
730,690.417,690.417
731,878.546,878.546
732,991.481,991.481
733,1019.454,1019.454
734,963.409,963.409
735,824.515,824.515
736,614.754,614.754
737,350.147,350.147
738,0,0
739,0,0
740,0,0
741,0,0
742,0,0
743,0,0
744,0,0
745,0,0
746,0,0
747,0,0
748,0,0
749,0,0
750,0,0
751,0,0
752,136.129,136.129
753,404.982,404.982
754,641.795,641.795
755,475.645,475.645
756,931.336,931.336
757,533.051,533.051
758,907.443,907.443
759,775.453,775.453
760,574.368,574.368
761,322.762,322.762
762,0,0
763,0,0
764,0,0
765,0,0
766,0,0
767,0,0
768,0,0
769,0,0
770,0,0
771,0,0
772,0,0
773,0,0
774,0,0
775,0,0
776,138.91,138.91
777,412.224,412.224
778,650.493,650.493
779,833.278,833.278
780,943.473,943.473
781,969.162,969.162
782,913.347,913.347
783,779.493,779.493
784,576.887,576.887
785,325.701,325.701
786,59.126,59.126
787,0,0
788,0,0
789,0,0
790,0,0
791,0,0
792,0,0
793,0,0
794,0,0
795,0,0
796,0,0
797,0,0
798,0,0
799,0,0
800,145.058,145.058
801,418.294,418.294
802,656.081,656.081
803,837.114,837.114
804,945.73,945.73
805,973.045,973.045
806,916.777,916.777
807,783.827,783.827
808,581.7,581.7
809,329.753,329.753
810,63.938,63.938
811,0,0
812,0,0
813,0,0
814,0,0
815,0,0
816,0,0
817,0,0
818,0,0
819,0,0
820,0,0
821,0,0
822,0,0
823,0,0
824,153.655,153.655
825,423.883,423.883
826,662.865,662.865
827,843.162,843.162
828,950.949,950.949
829,979.293,979.293
830,923.735,923.735
831,788.177,788.177
832,585.339,585.339
833,334.18,334.18
834,70.056,70.056
835,0,0
836,0,0
837,0,0
838,0,0
839,0,0
840,0,0
841,0,0
842,0,0
843,0,0
844,0,0
845,0,0
846,0,0
847,0,0
848,150.815,150.815
849,423.849,423.849
850,664.601,664.601
851,848.914,848.914
852,958.085,958.085
853,987.071,987.071
854,931.266,931.266
855,798.302,798.302
856,596.025,596.025
857,340.648,340.648
858,75.944,75.944
859,0,0
860,0,0
861,0,0
862,0,0
863,0,0
864,0,0
865,0,0
866,0,0
867,0,0
868,0,0
869,0,0
870,0,0
871,0,0
872,161.556,161.556
873,438.391,438.391
874,681.823,681.823
875,865.425,865.425
876,973.904,973.904
877,1001.108,1001.108
878,944.376,944.376
879,807.102,807.102
880,601.532,601.532
881,344.937,344.937
882,76.037,76.037
883,0,0
884,0,0
885,0,0
886,0,0
887,0,0
888,0,0
889,0,0
890,0,0
891,0,0
892,0,0
893,0,0
894,0,0
895,0,0
896,164.504,164.504
897,441.66,441.66
898,685.663,685.663
899,869.574,869.574
900,979.247,979.247
901,1006.315,1006.315
902,949.933,949.933
903,814.956,814.956
904,609.839,609.839
905,353.361,353.361
906,85.464,85.464
907,0,0
908,0,0
909,0,0
910,0,0
911,0,0
912,0,0
913,0,0
914,0,0
915,0,0
916,0,0
917,0,0
918,0,0
919,0,0
920,161.462,161.462
921,433.975,433.975
922,673.412,673.412
923,854.56,854.56
924,960.569,960.569
925,988.308,988.308
926,932.497,932.497
927,797.947,797.947
928,595.415,595.415
929,343.042,343.042
930,78.036,78.036
931,0,0
932,0,0
933,0,0
934,0,0
935,0,0
936,0,0
937,0,0
938,0,0
939,0,0
940,0,0
941,0,0
942,0,0
943,0,0
944,158.907,158.907
945,434.806,434.806
946,672.786,672.786
947,855.956,855.956
948,967.911,967.911
949,997.67,997.67
950,943.646,943.646
951,809.448,809.448
952,606.683,606.683
953,353.617,353.617
954,86.095,86.095
955,0,0
956,0,0
957,0,0
958,0,0
959,0,0
960,0,0
961,0,0
962,0,0
963,0,0
964,0,0
965,0,0
966,0,0
967,0,0
968,168.412,168.412
969,445.789,445.789
970,689.131,689.131
971,872.821,872.821
972,981.425,981.425
973,1009.59,1009.59
974,953.62,953.62
975,819.165,819.165
976,615.025,615.025
977,358.816,358.816
978,89.333,89.333
979,0,0
980,0,0
981,0,0
982,0,0
983,0,0
984,0,0
985,0,0
986,0,0
987,0,0
988,0,0
989,0,0
990,0,0
991,0,0
992,168.514,168.514
993,438.371,438.371
994,675.158,675.158
995,291.438,291.438
996,746.502,746.502
997,694.518,694.518
998,854.188,854.188
999,553.32,553.32
1000,360.272,360.272
1001,230.93,230.93
1002,10.411,10.411
1003,0,0
1004,0,0
1005,0,0
1006,0,0
1007,0,0
1008,0,0
1009,0,0
1010,0,0
1011,0,0
1012,0,0
1013,0,0
1014,0,0
1015,0,0
1016,155.797,155.797
1017,429.158,429.158
1018,672.863,672.863
1019,854.962,854.962
1020,963.413,963.413
1021,993.081,993.081
1022,938.191,938.191
1023,804.3,804.3
1024,604.284,604.284
1025,348.352,348.352
1026,84.648,84.648
1027,0,0
1028,0,0
1029,0,0
1030,0,0
1031,0,0
1032,0,0
1033,0,0
1034,0,0
1035,0,0
1036,0,0
1037,0,0
1038,0,0
1039,0,0
1040,163.787,163.787
1041,439.731,439.731
1042,679.845,679.845
1043,864.271,864.271
1044,973.988,973.988
1045,1005.048,1005.048
1046,951.675,951.675
1047,819.082,819.082
1048,616.777,616.777
1049,364.418,364.418
1050,97.55,97.55
1051,0,0
1052,0,0
1053,0,0
1054,0,0
1055,0,0
1056,0,0
1057,0,0
1058,0,0
1059,0,0
1060,0,0
1061,0,0
1062,0,0
1063,0,0
1064,167.523,167.523
1065,441.994,441.994
1066,681.326,681.326
1067,862.999,862.999
1068,972.335,972.335
1069,914.485,914.485
1070,828.647,828.647
1071,632.282,632.282
1072,583.611,583.611
1073,128.585,128.585
1074,35.976,35.976
1075,0,0
1076,0,0
1077,0,0
1078,0,0
1079,0,0
1080,0,0
1081,0,0
1082,0,0
1083,0,0
1084,0,0
1085,0,0
1086,0,0
1087,0,0
1088,153.483,153.483
1089,417.799,417.799
1090,657.294,657.294
1091,837.313,837.313
1092,947.396,947.396
1093,978.357,978.357
1094,923.554,923.554
1095,618.332,618.332
1096,376.13,376.13
1097,329.161,329.161
1098,71.59,71.59
1099,0,0
1100,0,0
1101,0,0
1102,0,0
1103,0,0
1104,0,0
1105,0,0
1106,0,0
1107,0,0
1108,0,0
1109,0,0
1110,0,0
1111,0,0
1112,67.42,67.42
1113,212.389,212.389
1114,708.828,708.828
1115,894.089,894.089
1116,1004.704,1004.704
1117,1031.388,1031.388
1118,972.808,972.808
1119,834.372,834.372
1120,625.493,625.493
1121,367.449,367.449
1122,96.568,96.568
1123,0,0
1124,0,0
1125,0,0
1126,0,0
1127,0,0
1128,0,0
1129,0,0
1130,0,0
1131,0,0
1132,0,0
1133,0,0
1134,0,0
1135,0,0
1136,190.608,190.608
1137,470.882,470.882
1138,717.639,717.639
1139,905.854,905.854
1140,1016.948,1016.948
1141,1047.165,1047.165
1142,992.838,992.838
1143,855.946,855.946
1144,647.746,647.746
1145,387.04,387.04
1146,112.811,112.811
1147,0,0
1148,0,0
1149,0,0
1150,0,0
1151,0,0
1152,0,0
1153,0,0
1154,0,0
1155,0,0
1156,0,0
1157,0,0
1158,0,0
1159,0,0
1160,198.981,198.981
1161,476.132,476.132
1162,720.228,720.228
1163,906.129,906.129
1164,1017.146,1017.146
1165,1045.005,1045.005
1166,989.699,989.699
1167,852.6,852.6
1168,645.822,645.822
1169,384.969,384.969
1170,113.109,113.109
1171,0,0
1172,0,0
1173,0,0
1174,0,0
1175,0,0
1176,0,0
1177,0,0
1178,0,0
1179,0,0
1180,0,0
1181,0,0
1182,0,0
1183,0,0
1184,69.288,69.288
1185,318.391,318.391
1186,707.938,707.938
1187,892.387,892.387
1188,1001.531,1001.531
1189,1030.307,1030.307
1190,975.622,975.622
1191,839.608,839.608
1192,633.983,633.983
1193,377.596,377.596
1194,110.105,110.105
1195,0,0
1196,0,0
1197,0,0
1198,0,0
1199,0,0
1200,0,0
1201,0,0
1202,0,0
1203,0,0
1204,0,0
1205,0,0
1206,0,0
1207,0,0
1208,200.524,200.524
1209,117.858,117.858
1210,438.008,438.008
1211,299.634,299.634
1212,841.229,841.229
1213,797.167,797.167
1214,340.632,340.632
1215,273.509,273.509
1216,153.08,153.08
1217,52.211,52.211
1218,22.764,22.764
1219,0,0
1220,0,0
1221,0,0
1222,0,0
1223,0,0
1224,0,0
1225,0,0
1226,0,0
1227,0,0
1228,0,0
1229,0,0
1230,0,0
1231,0,0
1232,196.554,196.554
1233,474.728,474.728
1234,714.711,714.711
1235,635.341,635.341
1236,823.189,823.189
1237,966.842,966.842
1238,858.53,858.53
1239,595.088,595.088
1240,391.124,391.124
1241,207.763,207.763
1242,36.249,36.249
1243,0,0
1244,0,0
1245,0,0
1246,0,0
1247,0,0
1248,0,0
1249,0,0
1250,0,0
1251,0,0
1252,0,0
1253,0,0
1254,0,0
1255,0,0
1256,22.74,22.74
1257,5.68,5.68
1258,21.817,21.817
1259,252.727,252.727
1260,541.649,541.649
1261,117.81,117.81
1262,316.872,316.872
1263,214.624,214.624
1264,610.942,610.942
1265,356.637,356.637
1266,67.855,67.855
1267,0,0
1268,0,0
1269,0,0
1270,0,0
1271,0,0
1272,0,0
1273,0,0
1274,0,0
1275,0,0
1276,0,0
1277,0,0
1278,0,0
1279,0,0
1280,3.781,3.781
1281,12.312,12.312
1282,107.303,107.303
1283,134.489,134.489
1284,222.654,222.654
1285,469.258,469.258
1286,445.909,445.909
1287,553.156,553.156
1288,425.847,425.847
1289,255.027,255.027
1290,58.786,58.786
1291,0,0
1292,0,0
1293,0,0
1294,0,0
1295,0,0
1296,0,0
1297,0,0
1298,0,0
1299,0,0
1300,0,0
1301,0,0
1302,0,0
1303,0,0
1304,189.422,189.422
1305,460.197,460.197
1306,705.173,705.173
1307,627.823,627.823
1308,769.123,769.123
1309,1023.376,1023.376
1310,964.89,964.89
1311,832.732,832.732
1312,315.217,315.217
1313,263.196,263.196
1314,20.856,20.856
1315,0,0
1316,0,0
1317,0,0
1318,0,0
1319,0,0
1320,0,0
1321,0,0
1322,0,0
1323,0,0
1324,0,0
1325,0,0
1326,0,0
1327,0,0
1328,210.639,210.639
1329,496.062,496.062
1330,741.397,741.397
1331,925.273,925.273
1332,1033.028,1033.028
1333,1058.945,1058.945
1334,997.93,997.93
1335,857.577,857.577
1336,650.34,650.34
1337,392.817,392.817
1338,118.426,118.426
1339,0,0
1340,0,0
1341,0,0
1342,0,0
1343,0,0
1344,0,0
1345,0,0
1346,0,0
1347,0,0
1348,0,0
1349,0,0
1350,0,0
1351,0,0
1352,24.637,24.637
1353,482.321,482.321
1354,722.124,722.124
1355,905.242,905.242
1356,1007.338,1007.338
1357,650.626,650.626
1358,672.289,672.289
1359,505.498,505.498
1360,120.443,120.443
1361,241.367,241.367
1362,103.574,103.574
1363,0,0
1364,0,0
1365,0,0
1366,0,0
1367,0,0
1368,0,0
1369,0,0
1370,0,0
1371,0,0
1372,0,0
1373,0,0
1374,0,0
1375,0,0
1376,4.728,4.728
1377,127.221,127.221
1378,42.726,42.726
1379,159.588,159.588
1380,243.595,243.595
1381,451.513,451.513
1382,503.552,503.552
1383,834.609,834.609
1384,623.665,623.665
1385,364.348,364.348
1386,97.871,97.871
1387,0,0
1388,0,0
1389,0,0
1390,0,0
1391,0,0
1392,0,0
1393,0,0
1394,0,0
1395,0,0
1396,0,0
1397,0,0
1398,0,0
1399,0,0
1400,191.112,191.112
1401,459.105,459.105
1402,697.564,697.564
1403,882.432,882.432
1404,991.358,991.358
1405,1018.696,1018.696
1406,960.298,960.298
1407,828.372,828.372
1408,627.147,627.147
1409,373.246,373.246
1410,29.755,29.755
1411,0,0
1412,0,0
1413,0,0
1414,0,0
1415,0,0
1416,0,0
1417,0,0
1418,0,0
1419,0,0
1420,0,0
1421,0,0
1422,0,0
1423,0,0
1424,214.733,214.733
1425,486.233,486.233
1426,725.317,725.317
1427,901.45,901.45
1428,596.589,596.589
1429,768.256,768.256
1430,175.32,175.32
1431,610.687,610.687
1432,458.814,458.814
1433,262.156,262.156
1434,116.088,116.088
1435,0,0
1436,0,0
1437,0,0
1438,0,0
1439,0,0
1440,0,0
1441,0,0
1442,0,0
1443,0,0
1444,0,0
1445,0,0
1446,0,0
1447,0,0
1448,110.969,110.969
1449,397.462,397.462
1450,669.916,669.916
1451,774.845,774.845
1452,800.858,800.858
1453,846.718,846.718
1454,908.421,908.421
1455,722.473,722.473
1456,539.782,539.782
1457,344.266,344.266
1458,88.851,88.851
1459,0,0
1460,0,0
1461,0,0
1462,0,0
1463,0,0
1464,0,0
1465,0,0
1466,0,0
1467,0,0
1468,0,0
1469,0,0
1470,0,0
1471,0,0
1472,230.501,230.501
1473,509.198,509.198
1474,748.84,748.84
1475,931.08,931.08
1476,1032.276,1032.276
1477,1054.397,1054.397
1478,993.564,993.564
1479,855.185,855.185
1480,650.203,650.203
1481,390.089,390.089
1482,124.82,124.82
1483,0,0
1484,0,0
1485,0,0
1486,0,0
1487,0,0
1488,0,0
1489,0,0
1490,0,0
1491,0,0
1492,0,0
1493,0,0
1494,0,0
1495,0,0
1496,239.251,239.251
1497,518.704,518.704
1498,762.175,762.175
1499,947.321,947.321
1500,1052.406,1052.406
1501,1076.487,1076.487
1502,1017.005,1017.005
1503,876.087,876.087
1504,663.201,663.201
1505,401.301,401.301
1506,125.466,125.466
1507,0,0
1508,0,0
1509,0,0
1510,0,0
1511,0,0
1512,0,0
1513,0,0
1514,0,0
1515,0,0
1516,0,0
1517,0,0
1518,0,0
1519,0,0
1520,239.618,239.618
1521,517.652,517.652
1522,758.517,758.517
1523,941.929,941.929
1524,1048.359,1048.359
1525,1073.648,1073.648
1526,1014.209,1014.209
1527,871.109,871.109
1528,663.77,663.77
1529,401.855,401.855
1530,126.683,126.683
1531,0,0
1532,0,0
1533,0,0
1534,0,0
1535,0,0
1536,0,0
1537,0,0
1538,0,0
1539,0,0
1540,0,0
1541,0,0
1542,0,0
1543,0,0
1544,104.748,104.748
1545,443.855,443.855
1546,654.806,654.806
1547,740.066,740.066
1548,717.984,717.984
1549,850.211,850.211
1550,629.33,629.33
1551,505.838,505.838
1552,455.297,455.297
1553,106.581,106.581
1554,19.897,19.897
1555,0,0
1556,0,0
1557,0,0
1558,0,0
1559,0,0
1560,0,0
1561,0,0
1562,0,0
1563,0,0
1564,0,0
1565,0,0
1566,0,0
1567,0,0
1568,93.034,93.034
1569,316.28,316.28
1570,738.702,738.702
1571,919.399,919.399
1572,914.466,914.466
1573,724.604,724.604
1574,157.538,157.538
1575,450.222,450.222
1576,534.105,534.105
1577,234,234
1578,56.386,56.386
1579,0,0
1580,0,0
1581,0,0
1582,0,0
1583,0,0
1584,0,0
1585,0,0
1586,0,0
1587,0,0
1588,0,0
1589,0,0
1590,0,0
1591,0,0
1592,77.972,77.972
1593,135.795,135.795
1594,583.566,583.566
1595,178.787,178.787
1596,190.186,190.186
1597,124.563,124.563
1598,312.888,312.888
1599,243.986,243.986
1600,344.285,344.285
1601,408.869,408.869
1602,131.221,131.221
1603,0,0
1604,0,0
1605,0,0
1606,0,0
1607,0,0
1608,0,0
1609,0,0
1610,0,0
1611,0,0
1612,0,0
1613,0,0
1614,0,0
1615,0,0
1616,254.027,254.027
1617,534.154,534.154
1618,774.953,774.953
1619,958.382,958.382
1620,1061.856,1061.856
1621,1084.354,1084.354
1622,1020.215,1020.215
1623,872.622,872.622
1624,660.333,660.333
1625,121.699,121.699
1626,124.9,124.9
1627,0,0
1628,0,0
1629,0,0
1630,0,0
1631,0,0
1632,0,0
1633,0,0
1634,0,0
1635,0,0
1636,0,0
1637,0,0
1638,0,0
1639,0,0
1640,218.072,218.072
1641,425.749,425.749
1642,704.864,704.864
1643,893.832,893.832
1644,1045.039,1045.039
1645,1071.65,1071.65
1646,1012.329,1012.329
1647,871.829,871.829
1648,603.636,603.636
1649,304.887,304.887
1650,126.067,126.067
1651,0,0
1652,0,0
1653,0,0
1654,0,0
1655,0,0
1656,0,0
1657,0,0
1658,0,0
1659,0,0
1660,0,0
1661,0,0
1662,0,0
1663,9.464,9.464
1664,240.59,240.59
1665,532.305,532.305
1666,771.678,771.678
1667,951.078,951.078
1668,1048.767,1048.767
1669,1069.057,1069.057
1670,1005.118,1005.118
1671,872.693,872.693
1672,664.851,664.851
1673,404.701,404.701
1674,132.793,132.793
1675,0,0
1676,0,0
1677,0,0
1678,0,0
1679,0,0
1680,0,0
1681,0,0
1682,0,0
1683,0,0
1684,0,0
1685,0,0
1686,0,0
1687,27.453,27.453
1688,276.059,276.059
1689,559.817,559.817
1690,802.103,802.103
1691,984.327,984.327
1692,1079.134,1079.134
1693,1100.438,1100.438
1694,1035.196,1035.196
1695,883.356,883.356
1696,674.528,674.528
1697,411.911,411.911
1698,137.983,137.983
