Load_demand [kWh],Solar_irradiance [W/m^2],Output power [W/m^2],Grid_connection_condition
8.28,0,0,0
8.41,0,0,0
7.96,69,42.736,0
8.15,145,169.118,1
8.35,446,437.206,1
8.6,962,779.219,0
8.4,952,865.809,1
8.14,957,882.221,1
8.32,942,820.663,0
7.95,905,683.728,1
7.66,809,482.608,1
8.58,575,225.415,0
7.74,0,0,0
7.79,0,0,1
7.4,0,0,1
7.63,0,0,0
7.83,0,0,0
7.8,0,0,0
7.67,0,0,1
7.42,0,0,1
7.69,0,0,1
7.95,0,0,0
6.52,0,0,1
7.77,0,0,1
6.68,0,0,1
7.47,0,0,0
7.68,410,129.278,1
7.55,782,389.968,0
7.34,911,618.38,1
7.25,971,787.508,0
7.31,979,881.423,0
7.62,986,900.28,0
7.53,970,836.874,0
7.39,931,698.162,0
7.72,837,492.083,1
7.48,608,237.132,1
7.59,0,0,1
7.36,0,0,0
6.88,0,0,0
7.19,0,0,1
7.62,0,0,0
7.54,0,0,1
7.3,0,0,1
7.09,0,0,1
6.58,0,0,1
7.04,0,0,0
7.12,0,0,0
7,0,0,1
7.84,0,0,1
7.83,0,0,0
7.57,401,126.733,1
7.57,779,395.539,0
7.12,413,424.825,0
7.35,662,657.53,0
7.04,792,798.41,0
7.21,876,848.932,1
7.63,569,655.709,0
9.74,395,467.31,0
9.66,542,391.637,0
10.03,276,150.865,1
8.73,0,0,0
10,0,0,1
10.69,0,0,1
9.56,0,0,0
10.08,0,0,0
9.58,0,0,0
9.37,0,0,1
9.79,0,0,1
9.89,0,0,1
10.32,0,0,1
10.05,0,0,0
9.69,0,0,0
9.76,0,0,1
9.85,0,0,0
9.93,367,118.131,0
9.91,747,381.496,0
9.86,881,608.821,0
9.52,941,777.366,0
10.13,963,872.859,0
9.92,964,890.994,1
10.01,940,826.647,1
10.26,767,628.867,1
10.31,502,382.891,0
9.13,26,62.481,0
8.8,0,0,1
8.03,0,0,1
7.75,0,0,0
8.76,0,0,0
8.31,0,0,0
7.81,0,0,1
7.98,0,0,0
8.61,0,0,1
8.2,0,0,1
7.63,0,0,0
8.18,0,0,0
7.96,0,0,1
7.57,0,0,0
8.13,0,0,1
7.24,262,98.506,0
7.28,678,363.737,1
7.8,438,436.631,1
7.62,907,768.345,1
6.97,935,867.737,0
7.62,949,890.73,1
6.59,941,833.97,1
6.29,910,700.76,1
6.61,828,503.366,0
6.86,617,247.456,0
6.88,0,0,0
6.75,0,0,0
6.58,0,0,0
6.96,0,0,1
6.88,0,0,0
6.9,0,0,0
6.95,0,0,0
6.65,0,0,0
6.27,0,0,0
6.87,0,0,1
6.94,0,0,1
6.25,0,0,0
6.61,0,0,1
5.99,0,0,0
6.63,428,131.374,1
6.04,800,399.1,0
6.82,929,633.494,1
6.69,989,806.933,1
6.88,1006,905.387,0
6.49,1011,925.934,0
5.73,996,863.426,0
6.09,956,724.355,0
6.07,867,517.775,0
6.26,653,259.537,0
6.43,0,0,0
4.66,0,0,0
5.4,0,0,0
5.76,0,0,0
6.11,0,0,1
5.5,0,0,1
6.73,0,0,0
6.05,0,0,1
5.23,0,0,0
6.39,0,0,0
5.36,0,0,0
5.51,0,0,0
6.19,0,0,1
6.06,0,0,0
5.54,137,63.278,0
5.61,803,400.253,1
6.65,938,638.047,0
5.62,1002,814.934,0
5.08,1033,920.281,0
6.4,1040,942.133,0
6.59,1026,881.765,0
5.49,989,742.884,1
6.06,908,536.361,0
7.13,707,275.227,1
7.15,0,0,1
7.69,0,0,0
7.22,0,0,0
8.2,0,0,1
7.48,0,0,1
8.22,0,0,0
7.85,0,0,1
7.3,0,0,0
9.21,0,0,1
8.58,0,0,0
8.93,0,0,0
7.19,0,0,1
7.51,0,0,1
7.11,0,0,1
8.99,491,145.858,0
6.8,847,416.571,0
9.61,965,651.179,0
7.67,1018,826.462,1
9,1025,924.755,0
6.85,1027,943.937,0
7.14,1009,880.123,0
7.25,967,738.58,1
7.66,877,529.503,1
8.55,665,268.684,0
7.07,0,0,0
7.39,0,0,0
8,0,0,1
8.14,0,0,0
8.04,0,0,1
8.4,0,0,0
7.54,0,0,0
8.08,0,0,0
6.67,0,0,0
6.4,0,0,0
7.42,0,0,1
7.52,0,0,0
6.8,0,0,0
7.07,0,0,1
6.87,407,128.511,1
7.7,209,201.081,1
7.63,270,358.426,0
7.66,984,810.662,0
6.71,339,578.776,0
6.72,591,730.29,1
6.91,687,729.856,1
6.85,963,738.056,1
7.46,484,383.505,1
7.66,0,50.519,1
8.27,0,0,1
8.03,0,0,1
7.3,0,0,0
7.87,0,0,0
7.55,0,0,0
7.77,0,0,0
6.86,0,0,1
7.34,0,0,0
7.58,0,0,0
7.43,0,0,0
21.86,0,0,0
23.53,0,0,1
27.73,0,0,1
26.42,0,0,0
28.91,407,128.252,0
29.45,783,394.064,0
29.74,914,628.38,0
28.79,973,802.285,0
29.73,985,899.617,1
30.66,988,920.951,0
29.41,107,368.175,1
25.33,586,574.077,0
26.66,828,516.643,1
26.76,613,257.636,1
25.92,0,0,0
26.15,0,0,1
25.53,0,0,1
25.9,0,0,0
25.98,0,0,0
26.7,0,0,1
26.27,0,0,0
27.28,0,0,1
26.21,0,0,1
26.84,0,0,1
25.88,0,0,1
24.94,0,0,1
25.48,0,0,0
27.39,0,0,1
26.46,101,56.95,1
27.05,0,16.095,0
28.44,73,228.537,0
27.45,412,547.5,1
27.63,68,341.328,0
27.23,19,238.939,1
28.49,35,271.391,1
27.62,905,710.881,1
27.91,822,514.267,0
25.16,621,260.761,1
25.42,0,0,0
11.39,0,0,0
12.22,0,0,0
10.92,0,0,0
11.23,0,0,0
11.3,0,0,1
12.22,0,0,0
9.93,0,0,0
10.54,0,0,0
10.3,0,0,0
10.64,0,0,1
10.56,0,0,0
10.75,0,0,1
10.98,0,0,1
10.03,218,86.76,1
9.72,477,297.943,0
11.51,664,529.067,1
10.64,973,803.252,0
10.61,999,909.423,1
9.36,1012,936.574,1
10.5,1005,883.219,0
12.14,645,606.218,1
10.48,900,546.493,1
10.71,207,143.189,1
11.9,0,0,1
9.59,0,0,1
9.29,0,0,0
10.02,0,0,0
8.67,0,0,0
7.73,0,0,1
9.36,0,0,1
8.16,0,0,1
7.55,0,0,0
8.43,0,0,1
7.58,0,0,0
9.35,0,0,0
8.53,0,0,0
7.46,0,0,0
8.56,513,152.135,1
7.71,868,428.603,1
7.93,989,672.488,1
8.77,1043,854.297,1
7.31,1053,955.649,0
9.03,1054,975.208,0
7.58,1032,909.429,1
8.46,125,330.259,1
8.3,151,243.444,0
7.77,169,134.173,1
8.49,0,0,1
8.02,0,0,1
7.62,0,0,1
9.07,0,0,0
7.4,0,0,0
6.85,0,0,1
9.17,0,0,1
7.8,0,0,1
9.77,0,0,0
8.82,0,0,0
19.89,0,0,0
22.12,0,0,1
24.28,0,0,0
23.78,0,0,0
26.96,498,148.268,0
27,849,421.945,0
29.1,965,661.024,0
25.5,1018,840.539,1
28.33,1045,948.414,1
26.62,1048,972.266,0
27.78,1034,912.175,0
27.21,995,771.712,0
27.36,912,560.914,1
26.52,722,298.663,0
27.11,0,0,0
26.94,0,0,1
28.82,0,0,0
26.25,0,0,0
27.06,0,0,0
28.43,0,0,0
27.34,0,0,1
26.82,0,0,0
27.13,0,0,0
27.01,0,0,1
28.95,0,0,0
26.1,0,0,1
27.57,0,0,0
27.38,0,0,0
27.64,173,74.98,1
27.71,844,417.684,1
28.14,966,658.871,1
27.95,1023,839.639,0
28.92,1036,945.155,1
29.23,1041,969.685,0
28.01,615,709.749,1
28.53,989,771.106,0
28.78,906,562.24,0
27.02,687,281.966,1
27.84,0,0,0
27.24,0,0,1
21.72,0,0,0
20.9,0,0,0
19.52,0,0,0
18.73,0,0,1
19.51,0,0,1
20.93,0,0,1
20.2,0,0,0
19.27,0,0,1
20.8,0,0,0
20.23,0,0,1
20.42,0,0,1
19.21,0,0,1
21.25,208,85.164,1
19.11,821,413.051,0
20.27,950,654.801,0
20.2,1010,836.126,0
20.71,1037,943.063,0
19.97,1041,968.295,1
20.1,1026,909.302,1
17.67,989,771.106,1
19.38,911,564.731,1
17.34,728,305.156,1
19.88,0,0,1
18.83,0,0,0
18.21,0,0,1
18.64,0,0,1
18,0,0,1
18.89,0,0,1
17.97,0,0,1
18.73,0,0,0
18.45,0,0,0
19.56,0,0,1
19.78,0,0,0
17.87,0,0,1
18.93,0,0,0
19.03,0,0,1
18.53,437,135.891,1
17.55,805,407.792,0
18.47,934,647.126,1
17.79,992,826.452,0
18.48,1004,928.182,0
18.71,1004,949.674,1
18.1,983,886.44,0
18.93,651,624.717,1
17.99,582,445.719,0
19.59,121,121.746,0
17.36,0,0,1
18.72,0,0,0
18.59,0,0,1
16.63,0,0,0
18.36,0,0,1
16.66,0,0,1
18.26,0,0,1
16.84,0,0,1
17.53,0,0,0
17.76,0,0,0
22.02,0,0,1
22.28,0,0,1
24.61,0,0,0
24.13,0,0,0
26.03,0,0.945,0
26.52,0,9.463,0
27.9,233,344.268,0
26.2,896,794.616,0
25.42,474,679.333,0
26.73,233,536.198,1
27.38,963,883.1,1
25.9,934,752.423,0
27.61,862,554.746,0
24.79,689,299.048,1
25.4,0,0,0
26.48,0,0,0
25.94,0,0,0
28.04,0,0,1
27.11,0,0,1
26.31,0,0,1
25.54,0,0,1
24.63,0,0,1
28.29,0,0,0
27.75,0,0,1
27.64,0,0,1
28.7,0,0,0
29.27,0,0,1
27.9,0,0,0
28.65,220,89.825,0
29,860,429.064,1
30.56,982,675.295,0
28.03,1039,860.259,0
27.51,1040,964.504,0
29.66,1048,992.94,1
27.26,1036,934.201,0
29.02,1006,796.365,0
27.94,931,585.901,0
27.86,759,323.259,0
26.22,0,0,0
15.38,0,0,0
13.23,0,0,1
12.02,0,0,1
10.89,0,0,0
8.61,0,0,1
8.54,0,0,1
9.67,0,0,1
10.61,0,0,1
9.82,0,0,0
10.9,0,0,0
10.76,0,0,1
9.77,0,0,0
9.96,0,0,1
10.04,158,74.594,1
11.05,848,429.34,0
9.87,968,673.82,0
8.89,1024,856.573,1
9.15,1032,961.017,1
9.11,1037,988.181,0
9.09,1024,929.247,1
10.46,991,791.69,1
10.13,915,582.781,1
9.18,741,320.697,1
9.8,0,0,0
8.24,0,0,1
9.47,0,0,1
10.03,0,0,1
8.98,0,0,1
8.19,0,0,1
9.8,0,0,0
8.7,0,0,1
8.7,0,0,0
8.86,0,0,1
8.9,0,0,1
9.18,0,0,1
8.03,0,0,0
7.68,0,0,1
7.82,225,92.643,1
10.27,98,161.596,0
7.94,100,261.208,0
7.99,1017,851.796,0
8.79,1044,961.367,1
8.97,1048,987.011,0
8.07,1033,927.253,1
8.83,794,690.105,1
8.52,530,429.982,1
9.07,753,321.816,0
8.13,0,0,0
7.23,0,0,0
7.88,0,0,1
6.87,0,0,0
6.8,0,0,1
9,0,0,0
7.19,0,0,1
7.3,0,0,1
7.97,0,0,1
9.2,0,0,1
21.39,0,0,0
22.74,0,0,0
24.36,0,0,0
24.52,0,0,0
25.45,452,138.97,0
26.48,803,409.95,1
30.83,921,645.932,0
28.17,973,822.454,0
25.15,970,919.931,1
26.1,974,945.475,1
26.46,604,727.234,0
25.95,465,563.362,1
23.58,845,555.7,1
25.12,659,298.589,1
25.83,0,0,0
24.09,0,0,1
28.51,0,0,1
25.36,0,0,1
27.85,0,0,1
27.16,0,0,1
27.66,0,0,1
26.01,0,0,1
27.46,0,0,0
26.13,0,0,0
26.24,0,0,0
28.84,0,0,0
27.96,0,0,1
27.72,0,0,1
26.58,191,84.001,1
28.32,0,62.319,0
28.51,0,26.549,1
26.64,0,117.436,1
28.01,2,143.907,1
29.47,72,381.709,0
27.49,18,232.84,0
26.12,11,182.508,1
27.76,0,64.587,1
26.41,25,88.393,1
25.01,0,0,1
14.47,0,0,1
12.97,0,0,0
10.29,0,0,0
10.96,0,0,0
9.99,0,0,1
10.57,0,0,0
8.83,0,0,0
10.07,0,0,0
9.11,0,0,0
9.9,0,0,1
10.61,0,0,0
9.89,0,0,0
10.34,0,0,1
9.79,0,3.78,1
10.77,0,83.24,0
9.13,336,412.417,0
10.68,132,393.142,0
10.32,16,234.212,1
10.43,0,41.806,0
10.53,0,77.028,1
10.67,0,48.426,1
8.66,0,36.989,0
7.85,25,90.532,1
7.93,0,0,1
8.2,0,0,0
7.26,0,0,0
8.49,0,0,0
7.75,0,0,0
8.16,0,0,0
8.14,0,0,1
8.21,0,0,1
7.57,0,0,1
9.04,0,0,0
7.22,0,0,1
8.15,0,0,1
7.52,0,0,0
7.99,0,0,0
8.66,546,160.765,0
8.95,876,442.162,1
6.1,995,690.417,1
8.27,1050,878.546,0
8.19,1069,991.481,0
8.04,1074,1019.454,0
7.13,1063,963.409,0
7.41,1031,824.515,1
8.37,963,614.754,0
8.6,810,350.147,0
8.36,0,0,0
9.11,0,0,0
7.82,0,0,0
6.76,0,0,0
8.09,0,0,1
7.09,0,0,0
7.86,0,0,0
8.08,0,0,0
6.08,0,0,1
8.5,0,0,0
9.81,0,0,1
21.29,0,0,0
21.58,0,0,0
22.81,0,0,0
26.17,436,136.129,0
26.82,771,404.982,0
23.81,900,641.795,0
25.27,241,475.645,1
29.46,986,931.336,0
26.51,201,533.051,0
26.73,984,907.443,1
27.77,952,775.453,0
25.2,880,574.368,0
26.65,718,322.762,0
25.92,0,0,0
25.68,0,0,1
26.65,0,0,1
26.19,0,0,1
25.85,0,0,1
25.95,0,0,0
26.38,0,0,0
25.35,0,0,1
26.04,0,0,0
24.99,0,0,0
26.03,0,0,1
26.57,0,0,0
26.94,0,0,1
26.18,0,0,0
26.38,441,138.91,0
25.98,775,412.224,0
27.09,904,650.493,1
26.93,966,833.278,0
27.02,999,943.473,1
25.34,1004,969.162,1
23.91,991,913.347,1
13.22,956,779.493,0
11.15,883,576.887,0
11.9,725,325.701,1
11.97,227,59.126,0
10.76,0,0,1
11.89,0,0,1
10.64,0,0,0
10.25,0,0,1
12.03,0,0,1
10.11,0,0,0
10.95,0,0,0
10.71,0,0,1
10.8,0,0,1
12.34,0,0,0
11.33,0,0,0
11.01,0,0,0
10.28,0,0,1
10.94,477,145.058,1
9.94,794,418.294,0
11.63,916,656.081,0
11.58,973,837.114,1
10.12,999,945.73,0
9.06,1007,973.045,1
8.17,995,916.777,0
9.35,962,783.827,0
8.23,890,581.7,1
8.91,732,329.753,1
8.14,245,63.938,1
8.65,0,0,1
8.96,0,0,0
8.19,0,0,0
9.61,0,0,1
8.73,0,0,1
9.16,0,0,0
8.01,0,0,1
9.11,0,0,0
9.2,0,0,1
9.49,0,0,1
7.63,0,0,1
8.44,0,0,1
8.04,0,0,1
9.08,520,153.655,0
8.01,825,423.883,1
8.6,941,662.865,0
8.98,995,843.162,0
8.34,1012,950.949,0
8.98,1018,979.293,1
8.15,1006,923.735,1
8.34,968,788.177,1
8.81,897,585.339,0
8.54,743,334.18,1
7.43,270,70.056,0
9.17,0,0,0
7.9,0,0,1
8.68,0,0,1
8.74,0,0,1
8.37,0,0,0
9.04,0,0,1
8.7,0,0,0
8.27,0,0,1
7.9,0,0,0
9.72,0,0,1
7.44,0,0,0
7.79,0,0,1
7.76,0,0,1
8.37,500,150.815,0
7.48,809,423.849,1
8.44,928,664.601,1
7.16,986,848.914,1
7.48,1008,958.085,0
8.31,1016,987.071,0
7.31,1005,931.266,1
8.24,977,798.302,0
7.45,910,596.025,1
7.54,761,340.648,0
8.4,294,75.944,0
8.23,0,0,1
8.23,0,0,0
7.45,0,0,1
7.44,0,0,0
8.76,0,0,0
9.23,0,0,1
9.22,0,0,0
7.9,0,0,0
8.4,0,0,0
8.21,0,0,1
7.79,0,0,0
8.9,0,0,1
7.85,0,0,0
8.66,548,161.556,1
7.93,844,438.391,1
8.34,956,681.823,0
7.36,1009,865.425,1
8.72,1029,973.904,0
10.4,1033,1001.108,0
10.9,1019,944.376,0
11.06,981,807.102,0
9.88,910,601.532,1
10.8,755,344.937,0
10.83,288,76.037,1
11.53,0,0,1
9.74,0,0,0
10.87,0,0,0
11.08,0,0,1
10.51,0,0,1
11.26,0,0,1
10.13,0,0,0
11.01,0,0,0
11.32,0,0,0
10.05,0,0,1
11.25,0,0,1
9.8,0,0,0
11.01,0,0,0
10.23,562,164.504,0
11.91,851,441.66,0
10.19,961,685.663,0
9.29,1013,869.574,1
9.95,1031,979.247,1
9.05,1036,1006.315,0
9.03,1024,949.933,1
8.5,998,814.956,0
9.63,931,609.839,0
8.56,787,353.361,0
9.58,342,85.464,0
9.16,0,0,0
7.85,0,0,0
8.61,0,0,0
9.72,0,0,0
8.96,0,0,0
9.83,0,0,1
9.51,0,0,0
8.55,0,0,1
9.94,0,0,0
8.08,0,0,0
9.5,0,0,0
8.09,0,0,0
9.28,0,0,1
8.52,547,161.462,0
8.94,831,433.975,1
9.27,939,673.412,1
9.14,991,854.56,1
8.63,1004,960.569,0
7.89,1009,988.308,1
9.4,995,932.497,1
8.53,961,797.947,1
9.53,891,595.415,1
7.8,740,343.042,0
7.33,292,78.036,1
8.11,0,0,0
8.09,0,0,0
7.97,0,0,1
7.32,0,0,1
8.7,0,0,1
9.7,0,0,0
8.58,0,0,0
8.71,0,0,1
8.11,0,0,1
18.9,0,0,0
17.35,0,0,1
18.71,0,0,0
19.12,0,0,0
18.13,520,158.907,0
17.06,812,434.806,0
17.67,926,672.786,0
17.25,981,855.956,1
18.44,1011,967.911,1
19.12,1018,997.67,0
17.76,1008,943.646,0
18.13,975,809.448,1
17.93,909,606.683,0
17.33,764,353.617,1
18.21,328,86.095,1
17.53,0,0,1
18.26,0,0,1
27.74,0,0,0
19.32,0,0,0
18.29,0,0,1
18.25,0,0,0
16.56,0,0,1
6.59,0,0,1
7.14,0,0,0
7.31,0,0,1
7.39,0,0,1
6.19,0,0,1
7.73,0,0,1
7.44,562,168.412,0
6.11,843,445.789,1
7.44,952,689.131,1
6.01,1004,872.821,0
7.13,1017,981.425,0
6.64,1022,1009.59,1
7.49,1010,953.62,1
6.39,985,819.165,1
6.86,918,615.025,1
8.33,774,358.816,0
9.08,345,89.333,1
8.46,0,0,1
10.42,0,0,0
8.57,0,0,0
7.47,0,0,0
8.7,0,0,0
9.75,0,0,1
9.7,0,0,0
10.24,0,0,1
9.53,0,0,1
11.16,0,0,1
10.23,0,0,0
9.82,0,0,0
9.94,0,0,1
10.3,559,168.514,1
9.64,821,438.371,0
9.08,922,675.158,0
8.98,38,291.438,0
7.93,508,746.502,0
9.18,376,694.518,0
8.49,769,854.188,0
9.75,377,553.32,0
9.41,264,360.272,0
8.22,322,230.93,0
9.33,0,10.411,1
9.22,0,0,0
8.92,0,0,0
8.44,0,0,1
9.32,0,0,1
8.4,0,0,0
9.64,0,0,1
9.36,0,0,1
9.57,0,0,0
9.53,0,0,0
8.89,0,0,0
9.09,0,0,1
8.31,0,0,1
9.89,0,0,0
10.1,460,155.797,0
9.5,759,429.158,1
9.89,885,672.863,0
8.12,948,854.962,0
8.03,970,963.413,0
9.8,979,993.081,1
8.92,969,938.191,1
9.16,938,804.3,0
8.03,869,604.284,1
7.89,721,348.352,0
7.7,303,84.648,0
9.18,0,0,0
7.95,0,0,1
6.74,0,0,0
7.67,0,0,0
7.1,0,0,1
8.04,0,0,1
6.89,0,0,1
7.16,0,0,0
7.58,0,0,1
23.18,0,0,1
22.85,0,0,0
26.37,0,0,0
28.81,0,0,1
30.53,511,163.787,0
30.78,793,439.731,0
29.91,909,679.845,1
28.16,967,864.271,1
28.27,991,973.988,1
30.21,1001,1005.048,0
26.73,994,951.675,1
29.39,967,819.082,0
27.51,906,616.777,0
27.23,770,364.418,0
28.09,371,97.55,0
27.93,0,0,0
27.51,0,0,0
28.78,0,0,0
27.5,0,0,1
29.29,0,0,0
29.81,0,0,1
29.25,0,0,1
28.77,0,0,0
28.13,0,0,0
28.09,0,0,1
30.69,0,0,1
29.08,0,0,0
28.17,0,0,1
29.55,519,167.523,0
26.8,797,441.994,0
26.96,910,681.326,0
27.03,964,862.999,1
27.69,989,972.335,1
26.85,764,914.485,0
27.49,686,828.647,0
27.9,520,632.282,0
25.31,842,583.611,0
25.06,57,128.585,1
24.67,58,35.976,0
14.08,0,0,0
12.6,0,0,1
11.9,0,0,0
11.07,0,0,1
11.15,0,0,0
10.53,0,0,0
12.14,0,0,0
11.54,0,0,0
10.12,0,0,1
11.41,0,0,1
11.6,0,0,0
10.86,0,0,1
11.12,0,0,0
11.3,429,153.483,0
9.48,716,417.799,1
11.09,844,657.294,0
10.57,912,837.313,1
11.21,944,947.396,0
10.94,955,978.357,0
10.48,943,923.554,1
9.74,475,618.332,0
9.16,274,376.13,1
7.74,628,329.161,1
8.58,206,71.59,1
7.76,0,0,1
8.6,0,0,1
9.49,0,0,1
8.84,0,0,1
8.35,0,0,1
9.52,0,0,0
7.96,0,0,1
8.53,0,0,0
8.56,0,0,0
8.5,0,0,1
8.68,0,0,1
8.58,0,0,0
8.97,0,0,0
8.42,58,67.42,1
8.54,136,212.389,0
9.73,956,708.828,0
9.28,1007,894.089,1
8.4,1029,1004.704,0
9.41,1032,1031.388,1
8.65,1017,972.808,1
8.53,985,834.372,0
8.54,914,625.493,1
7.62,766,367.449,1
7.39,357,96.568,1
8.89,0,0,1
7.9,0,0,1
8.51,0,0,0
8.63,0,0,1
7.59,0,0,1
8.91,0,0,0
7.47,0,0,1
8.23,0,0,1
8.79,0,0,0
24.87,0,0,0
22.61,0,0,1
25.13,0,0,0
27.75,0,0,1
27.71,602,190.608,1
27.78,860,470.882,1
29.02,966,717.639,0
29.57,1020,905.854,0
28.94,1036,1016.948,1
26.83,1044,1047.165,1
27.18,1036,992.838,0
29.91,1009,855.946,1
26.86,950,647.746,0
26.53,822,387.04,1
27.15,445,112.811,1
26.97,0,0,1
28.23,0,0,1
27.11,0,0,0
26.25,0,0,0
27.02,0,0,1
26.36,0,0,1
25.36,0,0,1
27.26,0,0,1
25.49,0,0,0
24.84,0,0,1
26.56,0,0,1
26.47,0,0,1
26.41,0,0,1
26.51,644,198.981,1
27.69,882,476.132,0
27.06,977,720.228,1
26.73,1023,906.129,1
26.13,1045,1017.146,0
25.61,1049,1045.005,1
26.49,1039,989.699,0
27.96,1008,852.6,1
27.51,946,645.822,0
26.74,814,384.969,0
24.8,443,113.109,0
13.54,0,0,0
13.11,0,0,0
11.48,0,0,1
13.31,0,0,1
11.27,0,0,0
9.71,0,0,1
11.26,0,0,1
10.76,0,0,0
10.91,0,0,1
11.64,0,0,1
10.61,0,0,1
10.36,0,0,0
10.79,0,0,0
12.13,49,69.288,1
10.35,368,318.391,0
10.2,943,707.938,0
10.2,993,892.387,0
10.62,1017,1001.531,0
10.62,1024,1030.307,1
10.66,1015,975.622,1
10.5,984,839.608,0
10.21,922,633.983,1
11.26,793,377.596,1
9.31,429,110.105,1
10.03,0,0,0
11.15,0,0,0
10.77,0,0,0
10.56,0,0,1
11.1,0,0,0
10.23,0,0,1
10.13,0,0,0
10.73,0,0,1
10.81,0,0,1
9.76,0,0,0
10.37,0,0,0
10.61,0,0,1
11.2,0,0,0
7.5,632,200.524,1
9.33,3,117.858,1
8.61,276,438.008,0
8.69,34,299.634,1
8.8,612,841.229,0
7.05,495,797.167,0
7.64,38,340.632,0
8.15,31,273.509,1
9.22,6,153.08,1
8.8,0,52.211,0
7.52,0,22.764,0
9.23,0,0,1
8.43,0,0,0
9.21,0,0,1
8.46,0,0,1
7.67,0,0,1
7.79,0,0,0
8.41,0,0,0
8.25,0,0,1
8.45,0,0,1
20.03,0,0,0
22.56,0,0,0
26.03,0,0,1
27.26,0,0,1
25.76,595,196.554,1
28.45,841,474.728,1
25.03,943,714.711,1
24.38,398,635.341,0
25.86,569,823.189,1
28.11,837,966.842,0
26.1,694,858.53,1
28.21,400,595.088,1
25.59,275,391.124,0
25.52,200,207.763,1
26.44,34,36.249,1
27.36,0,0,1
25.99,0,0,0
27.53,0,0,0
28.2,0,0,0
27.47,0,0,0
27.25,0,0,0
26.99,0,0,1
25.61,0,0,1
28.13,0,0,0
26.75,0,0,0
27.41,0,0,0
27.04,0,0,1
29.54,0,0,1
27.94,0,22.74,1
26.93,0,5.68,0
27.1,0,21.817,0
27.03,20,252.727,1
26.27,159,541.649,1
25.38,0,117.81,1
25.97,29,316.872,1
26.12,14,214.624,1
26.71,837,610.942,1
25,690,356.637,1
26,163,67.855,1
13.52,0,0,0
12.87,0,0,0
10.9,0,0,1
10.73,0,0,0
10.79,0,0,1
10.05,0,0,0
